id;file_name;upload_file;upload_file_content_type;upload_file_content_type;private_mode
1;Multi-channelled Licensed;../fake-data/blob/hipster.png;image/png;grey Cambridgeshire;true
2;Refined Rubber Chicken Table;../fake-data/blob/hipster.png;image/png;Automotive;true
3;South Dakota envisioneer Music;../fake-data/blob/hipster.png;image/png;Nakfa;false
4;Rubber Buckinghamshire Games;../fake-data/blob/hipster.png;image/png;incentivize Tuna copy;false
5;sky blue Georgia;../fake-data/blob/hipster.png;image/png;Facilitator;true
6;Markets Chief;../fake-data/blob/hipster.png;image/png;capacitor archive;true
7;Aruba;../fake-data/blob/hipster.png;image/png;software scale interactive;true
8;compelling mission-critical;../fake-data/blob/hipster.png;image/png;bifurcated scalable;false
9;Industrial;../fake-data/blob/hipster.png;image/png;index orange;false
10;overriding;../fake-data/blob/hipster.png;image/png;monitor 1080p Checking Account;true
